name,authors,page,license
"Login Shield","Glasspelican","https://minecraft.curseforge.com/projects/233255","https://minecraft.curseforge.com/projects/2560971/license"
"MAGE","asiekierka","https://minecraft.curseforge.com/projects/287471","https://minecraft.curseforge.com/projects/2577267/license"
"MTLib","jaredlll08","https://minecraft.curseforge.com/projects/253211","https://minecraft.curseforge.com/projects/2567171/license"
"Magic Arsenal","elytra","https://ci.elytradev.com/job/elytra/job/MagicArsenal/job/master","unknown"
"Magic Bees","MysteriousAges, Elec332","https://minecraft.curseforge.com/projects/65764","https://minecraft.curseforge.com/projects/2566282/license"
"MalisisCore","Ordinastie","https://minecraft.curseforge.com/projects/223896","https://minecraft.curseforge.com/projects/2526670/license"
"MalisisDoors","Ordinastie","https://minecraft.curseforge.com/projects/223891","https://minecraft.curseforge.com/projects/2526674/license"
"Mantle","mDiyo, bonusboni, progwml6","https://minecraft.curseforge.com/projects/74924","https://minecraft.curseforge.com/projects/2550550/license"
"MatterLink","NikkyAI, DaMachinator","https://minecraft.curseforge.com/projects/287323","https://minecraft.curseforge.com/projects/2577355/license"
"McJtyLib","McJty","https://minecraft.curseforge.com/projects/233105","https://minecraft.curseforge.com/projects/2582232/license"
"MineMenu","dmillerw, Girafi","https://minecraft.curseforge.com/projects/222378","https://minecraft.curseforge.com/projects/2497593/license"
"MmmMmmMmmMmm","bonusboni","https://minecraft.curseforge.com/projects/225738","https://minecraft.curseforge.com/projects/2503041/license"
"Mob Grinding Utils","Vadis365","https://minecraft.curseforge.com/projects/254241","https://minecraft.curseforge.com/projects/2587034/license"
"Mod Name Tooltip","mezz","https://minecraft.curseforge.com/projects/238747","https://minecraft.curseforge.com/projects/2486868/license"
"ModTweaker","jaredlll08","https://minecraft.curseforge.com/projects/220954","https://minecraft.curseforge.com/projects/2587031/license"
"Morph-o-Tool","Vazkii","https://minecraft.curseforge.com/projects/245287","https://minecraft.curseforge.com/projects/2475117/license"
"Mouse Tweaks","YaLTeR97","https://minecraft.curseforge.com/projects/60089","https://minecraft.curseforge.com/projects/2462627/license"
"MrCrayfish&#39;s Furniture Mod","Mr_Crayfish","https://minecraft.curseforge.com/projects/55438","https://minecraft.curseforge.com/projects/2593908/license"
"Natura","mDiyo, Alexbegt, progwml6","https://minecraft.curseforge.com/projects/74120","https://minecraft.curseforge.com/projects/2593539/license"
"Nature&#39;s Compass","ChaosTheDude","https://minecraft.curseforge.com/projects/252848","https://minecraft.curseforge.com/projects/2513221/license"
"Neat","Vazkii","https://minecraft.curseforge.com/projects/238372","https://minecraft.curseforge.com/projects/2595310/license"
"NetherEx","LogicTechCorp, Nazenn","https://minecraft.curseforge.com/projects/248039","https://minecraft.curseforge.com/projects/2593995/license"
